"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"MUNICIPIO";230110;408;2502;26;48;360;7;64;115;53;121;224;184;23;0;8;6;2;0;2;0;0;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230120;172;2502;7;17;155;2;27;51;28;47;90;82;8;0;7;5;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230125;62;2502;0;5;57;0;18;21;3;15;42;20;1;0;4;4;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230130;155;2502;15;28;127;3;17;57;15;35;86;69;10;0;6;4;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230140;69;2502;0;10;59;1;7;10;16;25;47;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230150;42;2502;1;4;38;2;6;17;4;9;22;20;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230160;138;2502;10;21;117;11;17;38;21;30;80;58;8;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230170;173;2502;2;15;158;9;39;38;27;45;102;71;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230180;31;2502;1;2;29;1;9;16;1;2;15;16;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230185;112;2502;2;10;102;9;21;19;16;37;73;39;2;0;7;2;5;0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230190;434;2502;16;41;393;16;87;114;65;111;234;200;27;0;10;8;2;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230195;138;2502;6;37;101;2;19;29;16;35;87;51;8;0;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
